Category,Team/All_Teams,Place,Player,Record,Team,Year
Rushing Attempts,23,3,1433,85,23,2018
Rushing Attempts,23,4,741,52,23,2018
Rushing Attempts,23,5,1540,43,23,2017
Rushing Attempts,23,6,839,31,23,2017
Rushing Attempts,23,7,1286,26,23,2017
Rushing Attempts,23,8,1433,22,23,2017
Rushing Attempts,23,9,24,21,23,2017
Rushing Attempts,23,10,202,13,23,2018
Rushing Attempts,23,11,3285,11,23,2018
Rushing Attempts,23,12,24,7,23,2018
Rushing Attempts,23,13,488,6,23,2018
Rushing Attempts,23,14,3418,6,23,2018
Rushing Attempts,23,15,1134,5,23,2017
Rushing Attempts,23,16,787,3,23,2018
Rushing Attempts,23,17,3188,3,23,2018
Rushing Attempts,23,18,523,2,23,2017
Rushing Attempts,23,19,787,2,23,2017
Rushing Yards,23,0,986,831,23,2018
Rushing Yards,23,1,986,405,23,2017
Rushing Yards,23,2,1879,313,23,2017
Rushing Yards,23,3,1433,296,23,2018
Rushing Yards,23,4,741,229,23,2018
Rushing Yards,23,5,1286,151,23,2017
Rushing Yards,23,6,1540,134,23,2017
Rushing Yards,23,7,202,115,23,2018
Rushing Yards,23,8,839,111,23,2017
Rushing Yards,23,9,24,104,23,2017
Rushing Yards,23,10,1433,52,23,2017
Rushing Yards,23,11,24,40,23,2018
Rushing Yards,23,12,523,37,23,2017
Rushing Yards,23,13,3418,35,23,2018
Rushing Yards,23,14,3285,15,23,2018
Rushing Yards,23,15,488,14,23,2018
Rushing Yards,23,16,1134,9,23,2017
Rushing Yards,23,17,787,6,23,2018
Rushing Yards,23,18,787,5,23,2017
Yards per Carry,23,0,986,495,23,2018
Yards per Carry,23,1,986,349,23,2017
Yards per Carry,23,2,1879,272,23,2017
Rushing Touchdowns,23,0,986,4,23,2017
Rushing Touchdowns,23,1,1879,4,23,2017
Rushing Touchdowns,23,2,1433,3,23,2018
Rushing Touchdowns,23,3,741,2,23,2018
Rushing Touchdowns,23,4,986,2,23,2018
Rushing Touchdowns,23,5,839,1,23,2017
Rushing Touchdowns,23,6,1540,1,23,2017
100 Yards Rushing,23,0,986,3,23,2018
Receptions,23,0,3418,77,23,2018
Receptions,23,1,1134,70,23,2017
Receptions,23,2,1262,67,23,2018
Receptions,23,3,8,56,23,2017
Receptions,23,4,488,50,23,2018
Receptions,23,5,1262,49,23,2017
Receptions,23,6,468,43,23,2018
Receptions,23,7,787,40,23,2017
Receptions,23,8,1433,29,23,2018
Receptions,23,9,741,28,23,2018
Receptions,23,10,986,25,23,2018
Receptions,23,11,385,24,23,2017
Receptions,23,12,1433,21,23,2017
Receptions,23,13,1879,20,23,2017
Receptions,23,14,726,20,23,2018
Receptions,23,15,787,20,23,2018
Receptions,23,16,986,17,23,2017
Receptions,23,17,839,16,23,2017
Receptions,23,18,1518,15,23,2018
Receptions,23,19,1817,14,23,2018
Receptions,23,20,523,13,23,2017
Receptions,23,21,1540,12,23,2017
Receptions,23,22,1817,12,23,2017
Receptions,23,23,2581,2,23,2018
Receptions,23,24,1518,1,23,2017
Receiving Yards,23,0,3418,870,23,2018
Receiving Yards,23,1,1262,830,23,2018
Receiving Yards,23,2,8,673,23,2017
Receiving Yards,23,3,1134,608,23,2017
Receiving Yards,23,4,488,593,23,2018
Receiving Yards,23,5,787,535,23,2017
Receiving Yards,23,6,468,514,23,2018
Receiving Yards,23,7,1262,492,23,2017
Receiving Yards,23,8,741,286,23,2018
Receiving Yards,23,9,1433,211,23,2017
Receiving Yards,23,10,986,198,23,2017
Receiving Yards,23,11,1433,196,23,2018
Receiving Yards,23,12,986,186,23,2018
Receiving Yards,23,13,726,176,23,2018
Receiving Yards,23,14,1518,174,23,2018
Receiving Yards,23,15,385,153,23,2017
Receiving Yards,23,16,1879,135,23,2017
Receiving Yards,23,17,839,130,23,2017
Receiving Yards,23,18,523,128,23,2017
Receiving Yards,23,19,787,128,23,2018
Receiving Yards,23,20,1817,101,23,2018
Receiving Yards,23,21,1540,67,23,2017
Receiving Yards,23,22,1817,36,23,2017
Receiving Yards,23,23,1518,11,23,2017
Receiving Yards,23,24,2581,7,23,2018
Yards per Reception,23,0,787,1338,23,2017
Yards per Reception,23,1,1262,1239,23,2018
Yards per Reception,23,2,8,1202,23,2017
Yards per Reception,23,3,468,1195,23,2018
Yards per Reception,23,4,488,1186,23,2018
Yards per Reception,23,5,3418,1130,23,2018
Yards per Reception,23,6,1262,1004,23,2017
Yards per Reception,23,7,1134,869,23,2017
Receiving Touchdowns,23,0,3418,9,23,2018
Receiving Touchdowns,23,1,468,4,23,2018
Receiving Touchdowns,23,2,1262,4,23,2018
Receiving Touchdowns,23,3,8,3,23,2017
Receiving Touchdowns,23,4,488,3,23,2018
Receiving Touchdowns,23,5,787,3,23,2018
Receiving Touchdowns,23,6,1262,2,23,2017
Receiving Touchdowns,23,7,1433,2,23,2017
Receiving Touchdowns,23,8,741,2,23,2018
Receiving Touchdowns,23,9,1433,2,23,2018
Receiving Touchdowns,23,10,385,1,23,2017
Receiving Touchdowns,23,11,1134,1,23,2017
Targeted Passes,23,0,3418,130,23,2018
Targeted Passes,23,1,1262,116,23,2018
Targeted Passes,23,2,1134,112,23,2017
Targeted Passes,23,3,8,94,23,2017
Targeted Passes,23,4,1262,93,23,2017
Targeted Passes,23,5,488,79,23,2018
Targeted Passes,23,6,787,74,23,2017
Targeted Passes,23,7,468,68,23,2018
Targeted Passes,23,8,385,50,23,2017
Targeted Passes,23,9,986,41,23,2018
Targeted Passes,23,10,741,39,23,2018
Targeted Passes,23,11,1433,39,23,2018
Targeted Passes,23,12,787,36,23,2018
Targeted Passes,23,13,1433,29,23,2017
Targeted Passes,23,14,1518,28,23,2018
Targeted Passes,23,15,986,27,23,2017
Targeted Passes,23,16,726,27,23,2018
Targeted Passes,23,17,1879,25,23,2017
Targeted Passes,23,18,839,23,23,2017
Targeted Passes,23,19,1817,20,23,2017
Targeted Passes,23,20,1817,20,23,2018
Targeted Passes,23,21,523,18,23,2017
Targeted Passes,23,22,1540,17,23,2017
Targeted Passes,23,23,2581,6,23,2018
Targeted Passes,23,24,1518,2,23,2017
Passes Dropped,23,0,1262,10,23,2017
Passes Dropped,23,1,1262,8,23,2018
Passes Dropped,23,2,468,6,23,2018
Passes Dropped,23,3,8,5,23,2017
Passes Dropped,23,4,986,4,23,2018
Passes Dropped,23,5,3418,4,23,2018
Passes Dropped,23,6,385,3,23,2017
Passes Dropped,23,7,787,3,23,2017
Passes Dropped,23,8,986,3,23,2017
Passes Dropped,23,9,1134,3,23,2017
Passes Dropped,23,10,488,2,23,2018
Passes Dropped,23,11,787,2,23,2018
Passes Dropped,23,12,523,1,23,2017
Passes Dropped,23,13,839,1,23,2017
Passes Dropped,23,14,1433,1,23,2017
Passes Dropped,23,15,1540,1,23,2017
100 Yards Receiving,23,0,8,2,23,2017
100 Yards Receiving,23,1,488,2,23,2018
100 Yards Receiving,23,2,3418,2,23,2018
100 Yards Receiving,23,3,787,1,23,2017
100 Yards Receiving,23,4,1262,1,23,2017
100 Yards Receiving,23,5,1262,1,23,2018
Interceptions,23,0,715,4,23,2017
Interceptions,23,1,715,4,23,2018
Interceptions,23,2,884,3,23,2017
Interceptions,23,3,438,2,23,2017
Interceptions,23,4,700,2,23,2017
Interceptions,23,5,431,2,23,2018
Interceptions,23,6,1642,2,23,2018
Interceptions,23,7,1073,1,23,2017
Interceptions,23,8,1172,1,23,2017
Interceptions,23,9,438,1,23,2018
Interceptions,23,10,520,1,23,2018
Interceptions,23,11,611,1,23,2018
Interceptions,23,12,3819,1,23,2018
Pass Defense Percentage,23,0,715,850,23,2018
Pass Defense Percentage,23,1,715,825,23,2017
Pass Defense Percentage,23,2,1642,799,23,2018
Pass Defense Percentage,23,3,1444,791,23,2018
Pass Defense Percentage,23,4,431,789,23,2018
Pass Defense Percentage,23,5,431,784,23,2017
Pass Defense Percentage,23,6,884,771,23,2017
Pass Defense Percentage,23,7,1642,755,23,2017
Pass Defense Percentage,23,8,520,752,23,2017
Pass Defense Percentage,23,9,520,745,23,2018
Tackles,23,0,715,121,23,2017
Tackles,23,1,1172,111,23,2018
Tackles,23,2,438,109,23,2017
Tackles,23,3,520,88,23,2018
Tackles,23,4,715,87,23,2018
Tackles,23,5,438,63,23,2018
Tackles,23,6,1165,61,23,2017
Tackles,23,7,520,59,23,2017
Tackles,23,8,1172,59,23,2017
Tackles,23,9,431,58,23,2017
Tackles,23,10,884,49,23,2017
Tackles,23,11,431,49,23,2018
Tackles,23,12,1444,44,23,2018
Tackles,23,13,966,42,23,2017
Tackles,23,14,879,41,23,2018
Tackles,23,15,966,38,23,2018
Tackles,23,16,1073,35,23,2017
Tackles,23,17,1642,35,23,2018
Tackles,23,18,330,33,23,2017
Tackles,23,19,700,29,23,2017
Tackles,23,20,1119,27,23,2017
Tackles,23,21,1642,26,23,2017
Tackles,23,22,1165,23,23,2018
Tackles,23,23,1073,22,23,2018
Tackles,23,24,611,21,23,2018
Tackles,23,25,2257,20,23,2018
Tackles,23,26,3721,20,23,2018
Tackles,23,27,3819,19,23,2018
Tackles,23,28,884,18,23,2018
Tackles,23,29,2939,18,23,2018
Tackles,23,30,1077,17,23,2017
Tackles,23,31,83,16,23,2017
Tackles,23,32,840,11,23,2017
Tackles,23,33,1444,10,23,2017
Tackles,23,34,2892,9,23,2017
Tackles,23,35,2222,8,23,2018
Tackles,23,36,3075,7,23,2017
Tackles,23,37,1746,6,23,2018
Tackles,23,38,2892,6,23,2018
Tackles,23,39,2128,5,23,2018
Tackles,23,40,1134,4,23,2017
Tackles,23,41,2200,4,23,2017
Tackles,23,42,616,4,23,2018
Tackles,23,43,768,4,23,2018
Tackles,23,44,8,3,23,2017
Tackles,23,45,1262,3,23,2018
Tackles,23,46,3418,3,23,2018
Tackles,23,47,1262,2,23,2017
Tackles,23,48,2257,2,23,2017
Tackles,23,49,1817,2,23,2018
Tackles,23,50,3977,2,23,2018
Tackles,23,51,1433,1,23,2017
Tackles,23,52,468,1,23,2018
Tackles,23,53,488,1,23,2018
Tackles,23,54,726,1,23,2018
Tackles,23,55,787,1,23,2018
Tackles,23,56,2581,1,23,2018
Assists,23,0,715,31,23,2018
Assists,23,1,1172,30,23,2017
Assists,23,2,715,29,23,2017
Assists,23,3,431,26,23,2017
Assists,23,4,1172,26,23,2018
Assists,23,5,438,24,23,2017
Assists,23,6,520,22,23,2017
Assists,23,7,879,20,23,2018
Assists,23,8,966,19,23,2017
Assists,23,9,520,17,23,2018
Assists,23,10,438,15,23,2018
Assists,23,11,884,14,23,2017
Assists,23,12,1165,14,23,2017
Assists,23,13,431,14,23,2018
Assists,23,14,1165,14,23,2018
Assists,23,15,1073,13,23,2017
Assists,23,16,1642,12,23,2018
Assists,23,17,700,10,23,2017
Assists,23,18,1444,10,23,2018
Assists,23,19,3721,10,23,2018
Assists,23,20,83,9,23,2017
Assists,23,21,330,9,23,2017
Assists,23,22,840,9,23,2017
Assists,23,23,1073,8,23,2018
Assists,23,24,3819,8,23,2018
Assists,23,25,1119,7,23,2017
Assists,23,26,611,7,23,2018
Assists,23,27,966,7,23,2018
Assists,23,28,1444,5,23,2017
Assists,23,29,1746,5,23,2018
Assists,23,30,2257,5,23,2018
Assists,23,31,3075,4,23,2017
Assists,23,32,2939,4,23,2018
Assists,23,33,1642,3,23,2017
Assists,23,34,884,3,23,2018
Assists,23,35,2892,3,23,2018
Assists,23,36,1077,2,23,2017
Assists,23,37,2892,2,23,2017
Assists,23,38,768,2,23,2018
Assists,23,39,2200,1,23,2017
Assists,23,40,616,1,23,2018
Assists,23,41,2128,1,23,2018
Sacks,23,0,438,80,23,2018
Sacks,23,1,1165,80,23,2018
Sacks,23,2,1165,55,23,2017
Sacks,23,3,966,50,23,2017
Sacks,23,4,330,45,23,2017
Sacks,23,5,83,35,23,2017
Sacks,23,6,3819,30,23,2018
Sacks,23,7,438,25,23,2017
Sacks,23,8,879,25,23,2018
Sacks,23,9,966,20,23,2018
Sacks,23,10,884,10,23,2017
Sacks,23,11,1073,10,23,2017
Sacks,23,12,1119,10,23,2017
Sacks,23,13,2200,10,23,2017
Sacks,23,14,2892,10,23,2017
Sacks,23,15,1073,10,23,2018
Sacks,23,16,2128,10,23,2018
Sacks,23,17,2222,10,23,2018
Sacks,23,18,2257,10,23,2018
Sacks,23,19,2892,10,23,2018
Sacks,23,20,2939,10,23,2018
Sacks,23,21,3721,10,23,2018
Sacks,23,22,431,5,23,2017
Sacks,23,23,1172,5,23,2017
Sacks,23,24,1172,5,23,2018
Hurries,23,0,1165,17,23,2017
Hurries,23,1,438,11,23,2018
Hurries,23,2,879,11,23,2018
Hurries,23,3,1165,11,23,2018
Hurries,23,4,330,9,23,2017
Hurries,23,5,438,7,23,2017
Hurries,23,6,83,5,23,2017
Hurries,23,7,840,5,23,2017
Hurries,23,8,966,4,23,2017
Hurries,23,9,700,3,23,2017
Hurries,23,10,1172,3,23,2017
Hurries,23,11,1073,3,23,2018
Hurries,23,12,1746,3,23,2018
Hurries,23,13,2892,3,23,2018
Hurries,23,14,2939,3,23,2018
Hurries,23,15,3721,3,23,2018
Hurries,23,16,3819,3,23,2018
Hurries,23,17,431,2,23,2017
Hurries,23,18,966,2,23,2018
Hurries,23,19,1073,1,23,2017
Hurries,23,20,1172,1,23,2018
Hurries,23,21,1444,1,23,2018
Hurries,23,22,2222,1,23,2018
Blocked Passes,23,0,1165,7,23,2018
Blocked Passes,23,1,1165,4,23,2017
Blocked Passes,23,2,879,4,23,2018
Blocked Passes,23,3,330,3,23,2017
Blocked Passes,23,4,438,3,23,2017
Blocked Passes,23,5,2892,2,23,2017
Blocked Passes,23,6,83,1,23,2017
Blocked Passes,23,7,431,1,23,2017
Blocked Passes,23,8,840,1,23,2017
Blocked Passes,23,9,884,1,23,2017
Blocked Passes,23,10,431,1,23,2018
Blocked Passes,23,11,438,1,23,2018
Blocked Passes,23,12,715,1,23,2018
Blocked Passes,23,13,2128,1,23,2018
Blocked Passes,23,14,2257,1,23,2018
Blocked Passes,23,15,2939,1,23,2018
Blocked Passes,23,16,3721,1,23,2018
Field Goals,23,0,417,36,23,2018
Field Goals,23,1,120,24,23,2017
Key Run Blocks,23,0,893,30,23,2018
Key Run Blocks,23,1,893,27,23,2017
Key Run Blocks,23,2,496,25,23,2018
Key Run Blocks,23,3,2635,21,23,2018
Key Run Blocks,23,4,856,19,23,2017
Key Run Blocks,23,5,252,17,23,2017
Key Run Blocks,23,6,252,17,23,2018
Key Run Blocks,23,7,425,13,23,2017
Key Run Blocks,23,8,2628,13,23,2017
Key Run Blocks,23,9,1551,11,23,2018
Key Run Blocks,23,10,1433,6,23,2018
Key Run Blocks,23,11,1650,5,23,2018
Key Run Blocks,23,12,1650,4,23,2017
Key Run Blocks,23,13,8,3,23,2017
Key Run Blocks,23,14,1433,3,23,2017
Key Run Blocks,23,15,1262,3,23,2018
Key Run Blocks,23,16,1262,1,23,2017
Key Run Blocks,23,17,394,1,23,2018
Key Run Blocks,23,18,1518,1,23,2018
Key Run Blocks,23,19,3471,1,23,2018
Key Run Opportunities,23,0,893,77,23,2018
Key Run Opportunities,23,1,893,73,23,2017
Key Run Opportunities,23,2,252,68,23,2017
Key Run Opportunities,23,3,856,66,23,2017
Key Run Opportunities,23,4,2628,55,23,2017
Key Run Opportunities,23,5,496,55,23,2018
Key Run Opportunities,23,6,2635,51,23,2018
Key Run Opportunities,23,7,425,46,23,2017
Key Run Opportunities,23,8,252,44,23,2018
Key Run Opportunities,23,9,1551,31,23,2018
Key Run Opportunities,23,10,1650,30,23,2018
Key Run Opportunities,23,11,3471,18,23,2018
Key Run Opportunities,23,12,1433,12,23,2018
Key Run Opportunities,23,13,394,10,23,2018
Key Run Opportunities,23,14,1650,9,23,2017
Key Run Opportunities,23,15,1433,8,23,2017
Key Run Opportunities,23,16,8,7,23,2017
Key Run Opportunities,23,17,1262,5,23,2017
Key Run Opportunities,23,18,1262,4,23,2018
Key Run Opportunities,23,19,1551,2,23,2017
Key Run Opportunities,23,20,1518,2,23,2018
Key Run Opportunities,23,21,726,1,23,2018
Pancake Blocks,23,0,893,2,23,2017
Pancake Blocks,23,1,1433,2,23,2018
Pancake Blocks,23,2,8,1,23,2017
Pancake Blocks,23,3,893,1,23,2018
Passes Defensed,23,0,715,16,23,2017
Passes Defensed,23,1,715,15,23,2018
Passes Defensed,23,2,1444,10,23,2018
Passes Defensed,23,3,520,9,23,2018
Passes Defensed,23,4,1172,9,23,2018
Passes Defensed,23,5,1642,8,23,2018
Passes Defensed,23,6,966,6,23,2017
Passes Defensed,23,7,1172,5,23,2017
Passes Defensed,23,8,1642,5,23,2017
Passes Defensed,23,9,611,5,23,2018
Passes Defensed,23,10,431,4,23,2017
Passes Defensed,23,11,438,4,23,2017
Passes Defensed,23,12,700,4,23,2017
Passes Defensed,23,13,884,4,23,2017
Passes Defensed,23,14,3075,4,23,2017
Passes Defensed,23,15,438,4,23,2018
Passes Defensed,23,16,520,3,23,2017
Passes Defensed,23,17,431,3,23,2018
Passes Defensed,23,18,1073,2,23,2017
Passes Defensed,23,19,1077,2,23,2017
Passes Defensed,23,20,884,2,23,2018
Passes Defensed,23,21,966,2,23,2018
Passes Defensed,23,22,1119,1,23,2017
Passes Defensed,23,23,1165,1,23,2017
Passes Defensed,23,24,1444,1,23,2017
Passes Defensed,23,25,1165,1,23,2018
Passes Defensed,23,26,3819,1,23,2018
Passes Defensed,23,27,3977,1,23,2018
Punt Return Yards,23,0,488,377,23,2018
Punt Return Yards,23,1,1879,94,23,2017
Punt Return Yards,23,2,468,79,23,2018
Punt Return Yards,23,3,385,60,23,2017
Kickoff Return Yards,23,0,715,861,23,2017
Kickoff Return Yards,23,1,1642,689,23,2018
Kickoff Return Yards,23,2,468,192,23,2018
Kickoff Return Yards,23,3,715,77,23,2018
Kickoff Return Yards,23,4,488,65,23,2018
Kickoff Return Yards,23,5,1642,50,23,2017
Kickoff Return Yards,23,6,2581,19,23,2018
Points Scored,23,0,417,144,23,2018
Points Scored,23,1,120,92,23,2017
Points Scored,23,2,3418,54,23,2018
Points Scored,23,3,1433,30,23,2018
Points Scored,23,4,986,24,23,2017
Points Scored,23,5,1879,24,23,2017
Points Scored,23,6,468,24,23,2018
Points Scored,23,7,741,24,23,2018
Points Scored,23,8,1262,24,23,2018
Points Scored,23,9,8,18,23,2017
Points Scored,23,10,488,18,23,2018
Points Scored,23,11,787,18,23,2018
Points Scored,23,12,1262,12,23,2017
Points Scored,23,13,1433,12,23,2017
Points Scored,23,14,715,12,23,2018
Points Scored,23,15,986,12,23,2018
Points Scored,23,16,275,6,23,2017
Points Scored,23,17,385,6,23,2017
Points Scored,23,18,438,6,23,2017
Points Scored,23,19,839,6,23,2017
Points Scored,23,20,1134,6,23,2017
Points Scored,23,21,1540,6,23,2017
Points Scored,23,22,438,6,23,2018
Points Scored,23,23,1165,6,23,2018
Points Scored,23,24,3819,6,23,2018
Points Scored,23,25,966,2,23,2017
Yards from Scrimmage,23,0,986,1017,23,2018
Yards from Scrimmage,23,1,3418,905,23,2018
Yards from Scrimmage,23,2,1262,830,23,2018
Yards from Scrimmage,23,3,8,673,23,2017
Yards from Scrimmage,23,4,1134,617,23,2017
Yards from Scrimmage,23,5,488,607,23,2018
Yards from Scrimmage,23,6,986,603,23,2017
Yards from Scrimmage,23,7,787,540,23,2017
Yards from Scrimmage,23,8,741,515,23,2018
Yards from Scrimmage,23,9,468,514,23,2018
Yards from Scrimmage,23,10,1262,492,23,2017
Yards from Scrimmage,23,11,1433,492,23,2018
Yards from Scrimmage,23,12,1879,448,23,2017
Yards from Scrimmage,23,13,1433,263,23,2017
Yards from Scrimmage,23,14,839,241,23,2017
Yards from Scrimmage,23,15,1540,201,23,2017
Yards from Scrimmage,23,16,726,176,23,2018
Yards from Scrimmage,23,17,1518,174,23,2018
Yards from Scrimmage,23,18,523,165,23,2017
Yards from Scrimmage,23,19,385,153,23,2017
Yards from Scrimmage,23,20,1286,151,23,2017
Yards from Scrimmage,23,21,787,134,23,2018
Yards from Scrimmage,23,22,202,115,23,2018
Yards from Scrimmage,23,23,24,104,23,2017
Yards from Scrimmage,23,24,1817,101,23,2018
Yards from Scrimmage,23,25,24,40,23,2018
Yards from Scrimmage,23,26,1817,36,23,2017
Yards from Scrimmage,23,27,3285,15,23,2018
Yards from Scrimmage,23,28,1518,11,23,2017
Yards from Scrimmage,23,29,2581,7,23,2018
All-Purpose Yards,23,0,488,1049,23,2018
All-Purpose Yards,23,1,986,1017,23,2018
All-Purpose Yards,23,2,715,907,23,2017
All-Purpose Yards,23,3,3418,905,23,2018
All-Purpose Yards,23,4,1262,830,23,2018
All-Purpose Yards,23,5,468,785,23,2018
All-Purpose Yards,23,6,1642,737,23,2018
All-Purpose Yards,23,7,8,673,23,2017
All-Purpose Yards,23,8,1134,617,23,2017
All-Purpose Yards,23,9,986,603,23,2017
All-Purpose Yards,23,10,1879,542,23,2017
All-Purpose Yards,23,11,787,540,23,2017
All-Purpose Yards,23,12,741,515,23,2018
All-Purpose Yards,23,13,1262,492,23,2017
All-Purpose Yards,23,14,1433,492,23,2018
All-Purpose Yards,23,15,1433,263,23,2017
All-Purpose Yards,23,16,839,241,23,2017
All-Purpose Yards,23,17,715,226,23,2018
All-Purpose Yards,23,18,385,213,23,2017
All-Purpose Yards,23,19,1540,201,23,2017
All-Purpose Yards,23,20,726,176,23,2018
All-Purpose Yards,23,21,1518,174,23,2018
All-Purpose Yards,23,22,523,165,23,2017
All-Purpose Yards,23,23,1286,151,23,2017
All-Purpose Yards,23,24,787,134,23,2018
All-Purpose Yards,23,25,202,115,23,2018
All-Purpose Yards,23,26,24,104,23,2017
All-Purpose Yards,23,27,1817,101,23,2018
All-Purpose Yards,23,28,700,60,23,2017
All-Purpose Yards,23,29,1642,50,23,2017
All-Purpose Yards,23,30,275,48,23,2017
All-Purpose Yards,23,31,438,46,23,2018
All-Purpose Yards,23,32,24,40,23,2018
All-Purpose Yards,23,33,3819,37,23,2018
All-Purpose Yards,23,34,1817,36,23,2017
All-Purpose Yards,23,35,2581,26,23,2018
All-Purpose Yards,23,36,438,24,23,2017
All-Purpose Yards,23,37,1172,23,23,2017
All-Purpose Yards,23,38,431,20,23,2018
All-Purpose Yards,23,39,520,17,23,2018
All-Purpose Yards,23,40,3285,15,23,2018
All-Purpose Yards,23,41,1518,11,23,2017
All-Purpose Yards,23,42,1165,9,23,2018
All-Purpose Yards,23,43,1165,8,23,2017
Quarterback Rating,24,0,513,957,24,2018
Quarterback Rating,24,1,513,896,24,2017
Pass Attempts,24,0,513,574,24,2017
Pass Attempts,24,1,513,514,24,2018
Pass Attempts,24,2,2372,14,24,2018
Pass Completions,24,0,513,384,24,2017
Pass Completions,24,1,513,345,24,2018
Pass Completions,24,2,2372,9,24,2018
Completion Percentage,24,0,513,671,24,2018
Completion Percentage,24,1,513,669,24,2017
Passing Yards,24,0,513,4047,24,2018
Passing Yards,24,1,513,3920,24,2017
Passing Yards,24,2,2372,110,24,2018
Yards per Pass Attempt,24,0,513,787,24,2018
Yards per Pass Attempt,24,1,513,683,24,2017
Passing Touchdowns,24,0,513,25,24,2018
Passing Touchdowns,24,1,513,17,24,2017
Passing Touchdowns,24,2,2372,2,24,2018
Times Sacked,24,0,513,31,24,2017
Times Sacked,24,1,513,18,24,2018
Times Sacked,24,2,2372,1,24,2018
300 Yards Passing,24,0,513,3,24,2018
300 Yards Passing,24,1,513,2,24,2017
Rushing Attempts,24,0,597,208,24,2017
Rushing Attempts,24,1,827,172,24,2018
Rushing Attempts,24,2,1084,134,24,2017
Rushing Attempts,24,3,1495,125,24,2018
Rushing Attempts,24,4,513,99,24,2018
Rushing Attempts,24,5,513,97,24,2017
Rushing Attempts,24,6,232,65,24,2018
Rushing Attempts,24,7,1334,18,24,2017
Rushing Attempts,24,8,1521,9,24,2017
Rushing Attempts,24,9,2372,6,24,2018
Rushing Attempts,24,10,1495,5,24,2017
Rushing Attempts,24,11,284,4,24,2018
Rushing Attempts,24,12,1521,3,24,2018
Rushing Attempts,24,13,1424,2,24,2017
Rushing Attempts,24,14,848,2,24,2018
Rushing Attempts,24,15,1029,2,24,2018
Rushing Attempts,24,16,284,1,24,2017
Rushing Attempts,24,17,848,1,24,2017
Rushing Attempts,24,18,1332,1,24,2017
Rushing Yards,24,0,597,869,24,2017
Rushing Yards,24,1,1495,607,24,2018
Rushing Yards,24,2,827,535,24,2018
Rushing Yards,24,3,1084,527,24,2017
Rushing Yards,24,4,513,499,24,2017
Rushing Yards,24,5,513,475,24,2018
Rushing Yards,24,6,232,262,24,2018
Rushing Yards,24,7,1334,62,24,2017
Rushing Yards,24,8,2372,24,24,2018
Rushing Yards,24,9,1495,18,24,2017
Rushing Yards,24,10,1521,13,24,2018
Rushing Yards,24,11,848,12,24,2018
Rushing Yards,24,12,1521,7,24,2017
Rushing Yards,24,13,1029,7,24,2018
Rushing Yards,24,14,848,5,24,2017
Rushing Yards,24,15,1424,2,24,2017
Rushing Yards,24,16,1332,1,24,2017
Yards per Carry,24,0,1495,486,24,2018
Yards per Carry,24,1,597,418,24,2017
Yards per Carry,24,2,1084,393,24,2017
Yards per Carry,24,3,827,311,24,2018
Rushing Touchdowns,24,0,1084,7,24,2017
Rushing Touchdowns,24,1,827,7,24,2018
Rushing Touchdowns,24,2,597,6,24,2017
Rushing Touchdowns,24,3,513,4,24,2017
Rushing Touchdowns,24,4,1495,4,24,2018
Rushing Touchdowns,24,5,232,3,24,2018
Rushing Touchdowns,24,6,513,3,24,2018
Rushing Touchdowns,24,7,848,1,24,2017
Rushing Touchdowns,24,8,848,1,24,2018
100 Yards Rushing,24,0,597,2,24,2017
100 Yards Rushing,24,1,513,1,24,2017
100 Yards Rushing,24,2,827,1,24,2018
100 Yards Rushing,24,3,1495,1,24,2018
Receptions,24,0,848,83,24,2018
Receptions,24,1,1029,71,24,2017
Receptions,24,2,1332,63,24,2017
Receptions,24,3,1521,61,24,2018
Receptions,24,4,848,54,24,2017
Receptions,24,5,1424,52,24,2018
Receptions,24,6,597,48,24,2017
Receptions,24,7,222,47,24,2017
Receptions,24,8,1029,41,24,2018
Receptions,24,9,1084,27,24,2017
Receptions,24,10,827,26,24,2018
Receptions,24,11,1424,25,24,2017
Receptions,24,12,759,25,24,2018
Receptions,24,13,1495,23,24,2018
Receptions,24,14,284,22,24,2017
Receptions,24,15,284,17,24,2018
Receptions,24,16,232,14,24,2018
Receptions,24,17,1334,11,24,2017
Receptions,24,18,1495,10,24,2017
Receptions,24,19,1521,4,24,2017
Receptions,24,20,426,4,24,2018
Receptions,24,21,974,4,24,2018
Receptions,24,22,3338,3,24,2018
Receptions,24,23,1693,1,24,2017
Receptions,24,24,1963,1,24,2017
Receptions,24,25,1693,1,24,2018
Receiving Yards,24,0,848,959,24,2018
Receiving Yards,24,1,848,780,24,2017
Receiving Yards,24,2,1029,746,24,2017
Receiving Yards,24,3,1521,695,24,2018
Receiving Yards,24,4,1424,646,24,2018
Receiving Yards,24,5,1332,639,24,2017
Receiving Yards,24,6,1029,627,24,2018
Receiving Yards,24,7,597,383,24,2017
Receiving Yards,24,8,759,382,24,2018
Receiving Yards,24,9,222,368,24,2017
Receiving Yards,24,10,284,309,24,2017
Receiving Yards,24,11,284,267,24,2018
Receiving Yards,24,12,1424,221,24,2017
Receiving Yards,24,13,1084,201,24,2017
Receiving Yards,24,14,1495,195,24,2018
Receiving Yards,24,15,827,188,24,2018
Receiving Yards,24,16,1334,96,24,2017
Receiving Yards,24,17,1495,88,24,2017
Receiving Yards,24,18,232,78,24,2018
Receiving Yards,24,19,1693,51,24,2017
Receiving Yards,24,20,3338,45,24,2018
Receiving Yards,24,21,426,43,24,2018
